flight, total cost 15 min. delay (€), total cost 30 min. delay (€), total cost 60 min. delay (€)
VL144395,2903250,16551750,88055250
FT137709,21000,1894500,34092750
KJ184714,17250,811500,21292500
ED102338,5250,933750,43984500
KJ3358,5250,30000,24818250
ED2968,3397500,16804500,84315000
ED19483,1058250,6516750,47996250
RY143720,6750,111750,20697000
RY28435,1271250,6744750,62554500
XC162379,1057500,7127250,62529750
AR153813,24750,5046750,58364250
FT117078,11250,93750,33489000
RT199508,1928250,15448500,85214250
VL110182,5525250,23307750,96737250
FT176739,2260500,13417500,74703000
FT22724,2240250,12135000,72525000
VL25411,3024750,15638250,78131250
AR124290,4500,55500,23948250
VL139815,10500,3681750,44352750
RY98540,27000,3516000,44322000
VL73280,3189750,19507500,97982250
XC212882,1538250,10419000,68219250
RT139235,21750,966750,36575250
RY172758,9750,1091250,31542750
AR147550,36000,2848500,43848000
RY115196,1233000,10295250,69136500
XC16188,2348250,15858000,84965250
AR105554,3006000,16918500,83694000
KJ66864,813000,9443250,67284750
VL16916,2250,687750,23262000
RY122972,9000,2191500,37542750
FT139377,1889250,12663750,80254500
FT149522,2393250,16925250,92173500
RT126643,781500,7373250,51351750
RY99872,2397000,10500750,59632500
KJ159379,5250,1324500,23815500
RY76378,919500,7760250,61242000
ED89270,12000,1338000,32663250
KJ216264,971250,9148500,67081500
KJ55443,761250,5215500,41507250
RT126253,7500,2817000,44862750
AR99484,1207500,11006250,72840000
ED35436,1713750,12174000,73947750
AR93786,738000,8773500,65505000
XC29655,1500,2871750,27389250
AR6947,3692250,21494250,103257000
FT74327,15750,159000,14661000
KJ19065,8250,2110500,35985000
RT24387,600750,6234750,52410750
VL39580,608250,9538500,71907000
AR135804,1035000,7297500,48807000
ED217573,361500,4871250,54130500
FT211878,9750,3903000,50081250
FT59552,3000750,19605000,98141250
RT8441,7500,1660500,36792000
AR20205,2272500,10068000,59219250
AR29915,5304000,23832750,102683250
AR68606,1321500,10017000,64725000
ED209725,5077500,22971000,97488000
RT34630,1405500,8898000,61208250
AR82900,790500,3827250,28233000
RT77110,21000,1713750,36321000
RY137175,2226750,12763500,68685000
XC153475,1584000,9232500,57450000
KJ78555,4306500,19165500,92190750
RT142244,750,6750,10836750
RY146089,1422750,10092000,68224500
VL24279,750,2167500,35999250
VL103263,8250,1868250,34572750
VL107760,8250,16500,744000
XC176819,398250,7719750,68001000
VL175874,10500,714750,32811750
XC183930,10500,2076000,43002750
FT23097,351000,3695250,42309000
AR129093,540750,4562250,41718000
FT23962,19500,2233500,34948500
KJ148594,4500,9000,3150750
ED181295,5250,2331750,39183750
KJ192741,5250,14250,1656750
RT169937,2940000,14017500,79252500
RY181649,12750,25500,6780000
VL81189,5250,2526000,36295500
AR200315,873750,10753500,78775500
FT171961,1380750,6537750,39402750
KJ4756,11250,521250,14324250
AR124028,2939250,16264500,83148000
AR125062,1066500,11251500,67945500
AR202116,1286250,7337250,53154000
XC45785,6750,1498500,33160500
AR115982,432000,10122000,75618750
XC94168,43500,6489000,56336250
AR84938,3291000,17629500,90918750
FT138308,8250,43500,23228250
RT181228,8250,16500,9241500
FT134931,494250,3592500,36258000
KJ136332,6750,538500,19762500
RY117809,771750,6693750,48795000
VL197195,2550000,14082750,74270250
XC17776,3000,2155500,30072000
FT25925,3750,1155000,26676750
RT19436,874500,4446750,36240000
AR211107,1614750,11695500,71004000
AR67559,3572250,18688500,87252000
ED84322,674250,6497250,59148750
FT161197,291000,3393000,37126500
FT27043,5250,2505750,33045000
RY98803,304500,3455250,42977250
ED199390,1381500,10361250,67209750
KJ132780,14250,228000,14550750
KJ2113,6000,12000,7968750
RY86850,1338000,11406750,75080250
VL137565,15000,4092000,48912000
AR205428,340500,6481500,61778250
RY174164,33750,2125500,40565250
AR136729,831000,4269750,33879000
ED218962,2023500,11139750,61429500
KJ151018,2031000,12129750,63404250
ED152665,11250,2461500,44445750
RT210470,1929750,15738000,89550750
VL69599,501750,6367500,52239000
RT103571,3701250,15777750,77317500
AR126832,19500,2851500,42264000
FT44272,970500,5353500,42525000
VL129796,6000,1434750,22585500
ED185449,1033500,7294500,47835750
ED39039,6000,24000,19647000
ED57871,55500,6843750,60021750
RY14939,1066500,7574250,50877000
RY3378,1448250,13213500,78030000
RT73517,162000,5286000,56328000
AR219071,569250,2841000,24041250
RT66526,3194250,13246500,59240250
ED41278,53250,7726500,73618500
FT22424,859500,11663250,85204500
KJ104099,7385250,30856500,124794750
AR144784,1730250,12076500,77364000
KJ39031,1001250,11475000,88256250
KJ47970,9750,2795250,53171250
VL186036,3000,6000,4761750
XC78149,3000,318000,24997500
ED18441,3136500,22371750,108963750
XC53726,21750,2921250,44923500
ED174394,22500,1014750,50627250
RT138509,2917500,19711500,105318750
XC188541,5250,10500,35250
XC194206,3966000,22601250,109881750
VL190056,1408500,10818000,75463500
VL208110,21750,5622000,59971500
RY33741,2838000,18109500,99783750
VL151966,6750,3942000,43317750
AR126377,3750,7500,2157750
AR130669,3930000,21426000,100506750
AR78781,1649250,10159500,65510250
FT126912,766500,9380250,71923500
KJ209530,6725250,33786750,137670750
RY121184,3253500,19809750,102480750
FT167169,314250,4941000,55778250
RT195721,4110750,22260750,104002500
RT54664,906000,5982000,51955500
RY153897,2250,4500,2587500
ED171427,3000,6984000,56717250
VL175476,484500,5781750,51957000
VL45505,8250,27750,16959750
XC146645,12000,3734250,54616500
ED103513,6000,12000,5764500
FT3522,33000,3615750,49622250
RT28455,1407000,12630750,85916250
VL30114,6750,34500,15256500
VL28832,8250,4926000,59114250
FT159496,1155000,11744250,78866250
XC130626,8250,2157000,45902250
XC96307,366000,8394750,72072750
FT154992,5077500,22736250,98165250
VL60460,2492250,16779000,94523250
VL154345,3000,1166250,33526500
RY45709,5992500,27290250,114023250
XC10002,12750,3231750,45363000
XC102163,19500,5929500,65509500
AR219957,4500,9000,349500
RT125867,1734750,15259500,88564500
FT144821,8250,1100250,23577750
FT65485,1873500,10269000,69560250
XC123182,6000,15000,34877250
ED190696,7500,3805500,61950000
ED22600,2250000,15073500,88892250
RT102489,2364750,13670250,76075500
RY7152,7162500,33762000,130639500
XC41444,5267250,24858000,107449500
XC179776,13500,3576000,57784500
AR85675,1682250,11443500,79311750
ED96364,3682500,16544250,77835750
RY36020,8250,1475250,37437000
FT99047,1524750,10406250,70128000
AR59180,5718750,25485000,114108000
KJ126760,2559750,15551250,81243000
XC11077,2250,3612750,56946000
RT131549,3750,5018250,55219500
RY214734,17250,2446500,43898250
RT199456,3750,7500,15000
XC99210,1959000,9869250,59106000
RY150337,16500,5850000,64900500
RY20292,6000,441000,25800000
ED151173,1203000,10877250,75264000
KJ166239,44250,2756250,40920000
XC97256,2047500,17172000,99999750
AR152105,7500,114000,13044000
VL195953,875250,13017750,87008250
VL95046,114000,7913250,64917750
ED205088,2967000,15249750,73270500
KJ69113,1500,3000,3330750
VL108119,4344750,22370250,105246000
RT181788,18750,5401500,59738250
KJ53670,2135250,14604750,83092500
RY15676,2090250,10190250,54525000
KJ57209,2159250,15946500,89922000
RT93283,1941000,18063000,99250500
VL210833,4401750,21616500,100327500
ED176849,3510750,20463750,100357500
FT70889,199500,5264250,52880250
KJ13648,467250,4972500,45271500
VL99381,3292500,18227250,92789250
RY195584,1188750,8989500,62510250
XC65158,5250,646500,20471250
FT142295,4359000,19832250,99020250
KJ17493,847500,10224750,76620750
RY193408,768750,7248000,58610250
AR102719,142500,7533750,66961500
FT182363,952500,9294000,69229500
RT212280,3944250,21818250,101315250
AR182849,8309250,33743250,125028000
ED116258,541500,8871000,72305250
FT210938,1800000,7338750,50800500
FT31141,3828750,19203750,91370250
RT119364,12750,1714500,35235750
VL44783,1500,3000,8763750
ED38407,1648500,9810750,65737500
FT146277,2250,4500,89250
KJ205957,2126250,15382500,87369000
KJ49394,962250,13049250,82047000
RT89588,21000,965250,30059250
AR163211,679500,5874750,59629500
AR54819,3750,7500,13328250
AR56228,538500,5652750,55688250
RY79712,3750,24000,24781500
VL110373,2222250,17123250,94741500
AR28714,4500,3461250,41775000
AR96769,2663250,14216250,75746250
RT127968,9000,1793250,41469750
RY122115,921000,6510000,44388000
VL84168,1473000,12900000,80892750
AR159829,6750,6072750,61338000
RT149559,6750,1329000,24414000
ED145464,9702750,37100250,132671250
AR153260,13500,2808750,49860750
ED28348,2239500,16602000,97600500
FT34611,1652250,12852000,77419500
KJ142208,4647750,23226750,107356500
RY168961,7500,21000,12741750
XC83831,717000,6225750,49260750
ED215984,1546500,16030500,96009000
XC21025,624000,6254250,60189000
ED12024,1707000,9717000,62814000
FT34571,2641500,13917000,77626500
KJ55950,2002500,14656500,80479500
RT86742,445500,7447500,62820750
VL14142,3000,1091250,42710250
VL149322,1531500,10472250,65699250
VL176992,1318500,9324750,66694500
FT168427,2077500,16209000,91938000
VL113740,1466250,9765750,61597500
VL133702,5250,409500,31920750
FT981,654000,8147250,66417750
RT61562,2420250,15225000,83247750
AR211823,243000,5202000,58076250
VL162189,1063500,7842750,57818250
ED167164,8250,296250,26813250
FT104707,5448000,21333750,90786000
FT137547,8250,3309750,49441500
AR160210,15750,1555500,38772750
ED110671,1055250,10319250,75814500
KJ73717,3000,11250,5800500
XC195707,606750,8544750,67695750
AR61075,206250,4891500,52197000
KJ153115,1791750,7140750,44049000
KJ77643,3750,7500,16716750
ED9363,9750,5436750,58227750
KJ73684,437250,10455750,75232500
VL33601,4500,9000,3748500
AR185511,584250,8876250,58863000
RT215897,5250,28500,18831000
KJ201358,1031250,7499250,64071750
ED133585,531750,3336750,41508000
VL95229,212250,6577500,62739750
AR211861,2483250,12444750,65601000
FT2112,2322750,15281250,83379750
RT150678,456750,9165000,69873750
KJ110432,11250,3663000,56681250
KJ185357,2415750,10920750,58939500
RT85872,978000,11793750,77205750
ED178399,498750,7398750,61958250
KJ40251,17250,3618000,55907250
RY219312,3053250,16601250,87141000
AR196776,2577000,14584500,83039250
AR63483,1506000,11550750,71418000
ED94351,2229000,10360500,64326000
RT6552,6000,1260750,37631250
ED77829,4500,300000,24171750
RT88242,708000,11001000,75128250
RY213991,851250,7240500,56220750
AR36302,5250,12750,4472250
RY219020,15000,1622250,42057000
VL112199,5250,29250,26622750
RY121262,369000,5054250,58011000
RY170857,595500,5745750,54518250
VL3472,2163750,14652750,80163750
VL121781,1674750,12880500,74953500
VL34138,6750,21750,17303250
ED119749,1395000,11462250,66512250
FT111863,4500,582750,19125000
VL168189,9750,1017000,39355500
VL8007,12000,2366250,31100250
KJ116496,26250,2162250,35031000
KJ216500,4517250,20244000,90595500
RT15373,332250,9247500,69450750
VL14730,4194750,19983750,86911500
RT175079,2452500,14785500,78613500
RT201683,9750,4641750,54362250
ED93693,1475250,8687250,51777750
FT55276,4500,2011500,45605250
XC161681,3889500,18565500,87591750
RT92578,3587250,15531000,73350000
XC168309,3222750,18915750,94330500
RT44892,750,198000,12078750
VL168793,2535000,12669000,61410000
XC178096,3237750,12930000,68226750
VL134252,1158000,7794750,55966500
RY66519,2161500,16119000,89536500
FT61603,1739250,10039500,62365500
RY9118,2250,4500,4266000
ED173413,1701750,8940000,52461750
ED34126,3974250,19546500,89246250
RY174219,1592250,8523750,56174250
RY30412,3238500,14850000,70469250
XC216871,1863000,10206750,62673750
RT112759,1230000,6785250,43952250
RT36881,619500,7392000,53481750
RY11308,3750,2540250,43622250
XC90599,3750,12750,4599750
RT136708,1726500,14845500,88284750
XC129963,10500,1650750,29548500
AR174179,1244250,8905500,62638500
ED164321,1542000,10887000,64803750
RT98233,1784250,11448750,65840250
FT17610,1911000,14241000,84569250
FT72446,3075000,15700500,73983000
VL60126,1674750,10192500,54579750
XC74979,6000,12000,4427250
ED217913,735750,4230750,33227250
VL17148,72000,2133750,37019250
KJ218903,664500,8228250,57105000
RT157511,7500,2621250,37056750
KJ62563,726750,6900000,50100750
AR72755,1454250,10497000,67554000
KJ107014,9000,2850750,36758250
XC128515,1222500,8163750,56247750
AR106918,1375500,8334750,55607250
FT48482,4520250,21437250,97686000
XC33642,745500,5643750,47033250
AR180092,944250,8549250,63896250
FT101952,1827000,13610250,76662750
RY55898,690000,6294000,52997250
AR1662,5217000,24949500,108652500
FT206465,701250,6040500,49853250
VL93059,351750,4176000,40441500
AR181594,1646250,10212750,63288000
AR95559,1167750,9351000,60729000
KJ52093,14250,471750,31900500
VL169279,7500,15000,20490000
FT24914,8250,16500,9775500
KJ214571,8250,16500,16777500
KJ200036,9000,24000,16724250
RY23362,4500,1469250,35173500
KJ193783,37500,3431250,44667750
KJ7602,12000,846000,26967000
VL100200,23250,2055000,31768500
XC79112,4500,297000,12064500
FT75683,9750,1593000,27513750
KJ153587,5250,2236500,44389500
RT87460,5250,10500,11576250
AR17679,6000,12000,3576000
RT15111,19500,3536250,47414250
AR30422,866250,6704250,47610750
RY148334,1957500,10338000,57826500
VL44688,801000,9330750,67131750
ED99399,6828750,26908500,101706000
FT60162,44250,5109750,52727250
XC28876,7500,15000,996000
FT9410,3009750,15987750,82385250
AR149442,2531250,16181250,91137750
ED27600,1500,3153000,61458750
ED61062,28500,5521500,58014000
RY15117,2254500,14595000,83226000
FT106428,15750,2121750,49994250
RT172257,18000,5557500,58281750
VL132693,3152250,15416250,84432750
AR106791,2296500,10107000,61801500
RY3399,2242500,14739750,93697500
VL207921,3000,140250,31051500
ED82568,3750,38250,18538500
XC101308,3750,156000,16684500
AR86471,1045500,8154750,64857750
RT119453,535500,9743250,77171250
XC109625,986250,9569250,72750000
FT63948,750,1500,12108750
RT14096,750,1874250,35347500
AR109234,1710000,14634000,90065250
KJ78397,825000,5745000,61053750
VL171171,7536750,34122000,134451750
KJ90339,517500,7437750,64878000
FT14258,2961750,15493500,85200000
AR92398,39000,4509750,49499250
FT160004,13500,3832500,50219250
FT155435,16500,3923250,60600750
RY47735,17250,6726750,69070500
VL184114,2658000,17835000,95920500
AR106306,15000,6948750,69909750
AR81757,800250,8288250,68662500
XC208331,13500,3858750,50038500
AR193654,291000,6618000,63935250
FT21011,3232500,16048500,86469750
RT52984,2264250,14687250,84864750
RY43677,72750,6488250,68883000
VL211221,791250,5907000,49193250
XC140338,303750,3213750,40301250
ED126144,3750,4617000,60173250
FT135993,35250,3945750,56058000
AR122977,18000,2239500,40044000
KJ178905,2661000,18159750,96334500
FT72099,21000,3726750,48150750
VL150122,754500,11205750,80980500
ED91369,1392000,9137250,67383000
VL17537,7500,15000,7660500
XC8585,2950500,16695750,95864250
ED76715,2185500,10878000,60493500
VL195194,2910000,19008750,94550250
ED143579,492000,9473250,74244000
ED180601,5646750,28605000,117493500
FT138593,1783500,14063250,82619250
RY153418,3000,6000,3498000
AR59352,18750,4866750,57678750
ED49242,1815000,12631500,76155750
AR103045,6750,24750,8270250
FT91159,18750,2925750,42948750
ED105094,7260750,30469500,117646500
ED198424,3762000,17897250,86431500
RY65413,12750,574500,31111500
XC78542,3136500,18335250,93551250
ED162324,6750,294750,6795750
VL98720,22500,751500,35555250
AR28410,1470750,11770500,77336250
FT63551,3087000,16309500,87698250
RT173831,684000,7812000,66853500
RT104653,4288500,21000750,99041250
AR199121,1753500,13107750,80049750
KJ198819,1558500,7755000,49944750
KJ159786,3099000,14092500,67997250
XC214081,7500,2894250,41396250
AR156143,4111500,20754000,95964750
ED64171,7500,15000,4664250
RT198374,2010000,13736250,82903500
RY19347,24750,5949000,59032500
AR198176,2224500,13245750,76471500
AR55109,1500,4500,14199750
ED114158,4500,19500,33749250
RT65030,2274750,12790500,72159000
RY187754,1500,3000,6000
RY195406,2345250,13865250,75165000
AR11971,8250,3284250,40392000
VL111357,2250,18750,6809250
AR17257,3000,2659500,40407750
RY110534,163500,10671750,78624750
XC118301,1447500,10166250,67295250
XC214792,532500,4869750,44361750
XC219027,3750,574500,31544250
ED3128,2248500,10680000,59680500
RT120406,1216500,7448250,53637000
KJ212324,6391500,27405000,106565250
VL13279,1837500,13151250,73644750
ED17882,8382000,32267250,119306250
VL74468,6000,1629750,32636250
FT98801,813000,7052250,59385750
XC155383,4683000,23531250,105150000
ED52797,2807250,17800500,94971750
KJ90577,2850000,17229000,86011500
RT165047,1081500,12396750,82096500
VL123033,345000,8680500,71142000
VL194531,750,4423500,55870500
AR129573,275250,2553000,41506500
ED165406,24750,3176250,50841000
RT219699,4458000,23419500,104059500
XC122008,7500,3299250,48362250
FT53881,1098750,13199250,84023250
VL162945,8250,3210750,55036500
FT213830,1131000,5328750,40036500
KJ56613,2250,19500,11997750
AR60599,1691250,11001750,71687250
RT148222,605250,9378000,72978000
RT205851,3750,414750,29313000
XC170395,3750,3443250,48928500
XC3013,4500,9000,2450250
FT175589,3069000,15216000,76579500
KJ2722,469500,6240750,56712000
XC149403,584250,10201500,66729750
AR103683,6000,47250,23717250
ED142555,980250,8988750,63220500
VL109204,809250,6541500,52737000
ED2678,13500,3177000,43404000
FT166171,520500,9321000,73938000
AR817,3281250,14168250,69686250
VL70547,7500,29250,7984500
VL72497,903750,7446750,62109000
FT7427,8250,2807250,34821750
KJ12264,8250,2226750,27365250
AR141751,1500,1478250,22740000
RY164427,1500,3000,5238000
AR87567,3000,2154000,39292500
VL126904,10500,614250,26144250
AR67669,2065500,10196250,55651500
FT162753,1865250,10148250,58663500
KJ129568,10500,3888000,53478750
KJ176777,1638750,10530000,66900750
RT55198,86250,5913000,56152500
RT64612,850500,7253250,60459750
AR72487,6750,1321500,20754000
RT47054,5618250,21458250,90920250
VL46191,1835250,12183750,71889000
VL20835,1012500,10490250,67515750
VL93491,5250,18750,24606750
FT28529,9750,54000,16554750
